SITE LOCATION,SITE NAME,planting_location_code,planting_relationships,YEAR,HISTORICAL PRESENCE,DATA TYPE,WATER BODY,SVMP REGION,PROJECT NAME,FUNDING SOURCE,FUNDING SOURCE PROGRAM,CONTRACT 1,CONTRACT 1,CONTRACT 2,CONTRACT 2,CITATION,ACTIVITY TYPE,ACTIVITY FILTER,PLANTING DATE,LATITUDE,LONGITUDE,data_type,retain_drop,DATUM,ELEVATION,PLANTING METHOD,planting_method,PARALLEL SIDE,PERPENDICULAR SIDE,PLOT AREA,PLANTED AREA,EFFECTIVE AREA PLANTED,# OF PLANTING UNITS,# OF SHOOTS,PLOT SHOOT DENSITY ,FOOTPRINT (planted) SHOOT DENSITY ,EFFECTIVE SHOOT DENSITY ,DONOR SITE NAME,NOTES
Eld Inlet,Eld Inlet - shallow - PNNL - test - 2015,ELD_shallow,single,2015,,point,Eld Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-03-12,47.09740,-122.95525,point,retain,WGS84,-1.1,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot 1 m west of the shallow plot"
Eld Inlet,Eld Inlet - deep - PNNL - test - 2015,ELD_deep,single,2015,,point,Eld Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-03-12,47.09752,-122.95535,point,retain,WGS84,-2.1,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff,"""mega""-bundles were planted nearby, see Eld Inlet shallow"
Graham Point,Graham Point - PNNL - test - 2015,GRA_1,single,2015,,point,Pickering Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-03-12,47.25195,-122.92783,point,retain,WGS84,-1.2,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff,"planting depths on slope depth range of -1.2m, MLLW to -2.1m, MLLW"
Herron Island,Herron Island - PNNL - test - 2015,HRI,single,2015,,point,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-03-12,47.27950,-122.80930,point,retain,WGS84,-1.2,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot and south"
Hunter Point,Edgewater - south - PNNL - test - 2015,HPT_south,single,2015,,point,Eld Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-05-18,47.15187,-122.92978,point,retain,WGS84,-1.1,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Thompson Cove,SW corner of plot
Hunter Point,Edgewater - north - PNNL - test - 2015,HPT_north,single,2015,,point,Eld Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-05-18,47.15500,-122.92618,point,retain,WGS84,-1.4,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Thompson Cove,"SW corner of plot, depth taken at NE corner of plot"
Joemma Beach State Park,Joemma Beach State Park Mid South - W - PNNL - large - 2015,JSP_mid_south_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,large scale,2015-05-17,47.22235,-122.81050,polygon,retain,WGS84,,staple,staple,50,40,2000,250,12.75,2550,10200,5,41,800,Windy Bluff and Thompson Cove,"north corner, south plot. Most offshore transect was all Thompson Cove plants, most onshore line was all Windy Bluff plants, south end of the plot was all Windy Bluff plants, north end of the plot was all Thompson Cove plants. See diagram."
Joemma Beach State Park,Joemma Beach State Park Mid South - N - PNNL - large - 2015,JSP_mid_south_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-17,47.22252,-122.81003,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"east corner, south plot"
Joemma Beach State Park,Joemma Beach State Park Mid South - E - PNNL - large - 2015,JSP_mid_south_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-17,47.22215,-122.80967,polygon,retain,WGS84,-0.9,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"south corner, south plot"
Joemma Beach State Park,Joemma Beach State Park Mid South - S - PNNL - large - 2015,JSP_mid_south_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-17,47.22200,-122.81008,polygon,retain,WGS84,-1.5,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"west corner, south plot"
