"","site_location","site_name","planting_location_code","planting_relationships","year","historical_presence_source","planting_geometry","water_body","svmp_region","activity_type","activity_filter","planting_date","latitude","longitude","retain_drop","datum","elevation_m_MLLW","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_name","notes","subproj_code","group_no"
"21","Anderson Island","Anderson Island South 3 - west - test - 2021","AND_west6","single",2021,NA,"point",NA,NA,"test","test",2021-06-25,NA,NA,"retain","WGS84",-1.5,"rebar",3.5,0.5,1.75,2.25,0.225,"9",135,77.1428571428571,60,"DuPont Wharf",NA,"unaffiliated__unspecified__unspecified",16
"22","Anderson Island","Anderson Island - Carlson Bay SE - DNR - test 1 - 2023","AND_se1","single",2023,NA,"point","Case Inlet","CPS","test","test",2023-06-05,47.14154,-122.73026,"retain","WGS84",-1.5,"rebar",1.5,0.5,0.75,2.25,0.225,"9",150,200,66.6666666666667,"DuPont Wharf",NA,"unaffiliated__unspecified__unspecified",17
"23","Blind Bay","Blind Bay - DNR - test - 2020","BB_test_1","single",2020,"SVMP","line","Blind Bay","SJS","test","test",2020-08-02,48.57816,-122.94099,"retain","WGS84",-1.7,"rebar",14,1,14,4,0.4,"16",320,22.8571428571429,80,"Dumas Bay","GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020.","zos_rec_sji__DNR__unspecified",18
"24","Blind Bay","Blind Bay - DNR - test - 2020","BB_test_1","single",2020,"SVMP","line","Blind Bay","SJS","test","test",2020-08-02,48.57816,-122.94099,"retain","WGS84",-1.7,"rebar",14,1,14,0.75,0.075,"3",60,4.28571428571429,80,"Fay Bainbridge","GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020.","zos_rec_sji__DNR__unspecified",19
"25","Blind Bay","Blind Bay - DNR - test - 2020","BB_test_1","single",2020,"SVMP","line","Blind Bay","SJS","test","test",2020-08-02,48.57816,-122.94099,"retain","WGS84",-1.7,"rebar",14,1,14,2.25,0.225,"9",135,9.64285714285714,60,"Henry Island","GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Pacific Northwest National Laboratory mesocosms on 31 July 2020.","zos_rec_sji__DNR__unspecified",20
"26","Blind Bay","Blind Bay - DNR - test - 2020","BB_test_1","single",2020,"SVMP","line","Blind Bay","SJS","test","test",2020-08-02,48.57816,-122.94099,"retain","WGS84",-1.7,"rebar",14,1,14,3.75,0.375,"15",210,15,56,"Ship Harbor","GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020.","zos_rec_sji__DNR__unspecified",21
"27","Blind Bay","Blind Bay - DNR - test - 2020","BB_test_1","single",2020,"SVMP","line","Blind Bay","SJS","test","test",2020-08-02,48.57816,-122.94099,"retain","WGS84",-1.7,"rebar",14,1,14,1.75,0.175,"7",175,12.5,100,"Mixed","GPS marks the 0 m helical anchor. Another helical is set at 14 m (48.57810 -122.94094). Planting started at 2 m and ended at 10 m to keep transplants 2 m away from helicals at the end of the 14 m transect. Eelgrass harvested from the Shannon Point Marine Center mesocosms on 31 Jul 2020.","zos_rec_sji__DNR__unspecified",22
"28","Chico Bay","Chico Bay - PNNL - test - 2015","CHC","single",2015,NA,"point","Dyes Inlet","CPS","test","test",2015-02-18,47.6064833333333,-122.699183333333,"retain","WGS84",-0.85344,"staple",5,5,25,25,0.625,"125",500,20,20,"Creosote Point",NA,"zos_rest_ps__DNR__PNNL",23
"29","Commencement Bay","Commencement Bay - PNNL - Test Plot shallow - 2017","COM_shallow","single",2017,NA,"point","Commencement Bay","CPS","test","test",2017-08-31,47.27626,-122.4636385,"retain","WGS84",-1.524,"rebar",2.5,2.5,6.25,5,0.5,"20",500,80,100,"Creosote Point",NA,"zos_rec_ps__USFWS__PNNL",24
"30","Commencement Bay","Commencement Bay - PNNL - Test Plot deep - 2017","COM_deep","single",2017,NA,"point","Commencement Bay","CPS","test","test",2017-08-31,47.2763166666667,-122.463733333333,"retain","WGS84",-2.4384,"rebar",2.5,2.5,6.25,5,0.5,"20",500,80,100,"Creosote Point",NA,"zos_rec_ps__USFWS__PNNL",25
