"","group_no","planting_location_code_summ","donor_site_code_summ","planting_method_summ","plantingID","planting_geometry","activity_type","planting_date","planting_location_code","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effecive_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_code","subproj_code"
"83",83,"JSP_north_L1","RKB","turf","JSP_north_L1__2017-05-04__turf__RKB","line","test",2017-05-04,"JSP_north_L1","turf",5,5,25,39,1.04,104,1042,41.68,26.7179487179487,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"84",84,"JSP_north_L2","RKB","turf","JSP_north_L2__2017-05-04__turf__RKB","line","test",2017-05-04,"JSP_north_L2","turf",5,5,25,39,1.05,105,1052,42.08,26.974358974359,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"85",85,"JSP_south_P2","CTI","turf","JSP_south_P2__2017-05-07__turf__CTI","polygon","large scale",2017-05-07,"JSP_south_P2","turf",20,8,160,80,23.67,2367,16570,103.5625,207.125,"CTI","zos_rest_ps__WDFW__Hart Crowser"
"86",86,"JSP_south_P3","DPW","turf","JSP_south_P3__2017-05-19__turf__DPW","polygon","large scale",2017-05-19,"JSP_south_P3","turf",20,8,160,77.5,29.56,2956,24734,154.5875,319.148387096774,"DPW","zos_rest_ps__WDFW__Hart Crowser"
"87",87,"JSP_south_P4","RKB","turf","JSP_south_P4__2017-05-22__turf__RKB","polygon","large scale",2017-05-22,"JSP_south_P4","turf",20,8,160,80,26.15,2615,26149,163.43125,326.8625,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"88",88,"JSP_mid_AG1","DPW","staple","JSP_mid_AG1__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_AG1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"89",89,"JSP_mid_BG1","DPW","staple","JSP_mid_BG1__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_BG1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"90",90,"JSP_mid_C1","DPW","staple","JSP_mid_C1__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_C1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"91",91,"JSP_mid_AG2","DPW","staple","JSP_mid_AG2__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_AG2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"92",92,"JSP_mid_C2","DPW","staple","JSP_mid_C2__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_C2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"93",93,"JSP_mid_BG2","DPW","staple","JSP_mid_BG2__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_BG2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"94",94,"JSP_mid_C3","DPW","staple","JSP_mid_C3__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_C3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"95",95,"JSP_mid_BG3","DPW","staple","JSP_mid_BG3__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_BG3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"96",96,"JSP_mid_C4","DPW","staple","JSP_mid_C4__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_C4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"97",97,"JSP_mid_BG4","DPW","staple","JSP_mid_BG4__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_BG4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"98",98,"JSP_mid_AG3","DPW","staple","JSP_mid_AG3__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_AG3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"99",99,"JSP_mid_AG4","DPW","staple","JSP_mid_AG4__2017-05-25__staple__DPW","point","test",2017-05-25,"JSP_mid_AG4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DPW","bese__DNR__unspecified"
"100",100,"JSP_north_P1","DPW","burlap","JSP_north_P1__2017-05-26__burlap__DPW","grid","test",2017-05-26,"JSP_north_P1","burlap",10,4,40,1.25,0.1875,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"101",101,"JSP_north_P1","DPW","washer","JSP_north_P1__2017-05-26__washer__DPW","grid","test",2017-05-26,"JSP_north_P1","washer",10,4,40,1.25,0.0225,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"102",102,"JSP_north_P1","DPW","staple","JSP_north_P1__2017-05-26__staple__DPW","grid","test",2017-05-26,"JSP_north_P1","staple",10,4,40,1.25,0.045,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"103",103,"JSP_north_P1","DPW","rebar","JSP_north_P1__2017-05-26__rebar__DPW","grid","test",2017-05-26,"JSP_north_P1","rebar",10,4,40,1.25,0.075,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"104",104,"JSP_mid_P1","DPW","burlap","JSP_mid_P1__2017-05-26__burlap__DPW","grid","test",2017-05-26,"JSP_mid_P1","burlap",10,4,40,1.25,0.1875,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"105",105,"JSP_mid_P1","DPW","washer","JSP_mid_P1__2017-05-26__washer__DPW","grid","test",2017-05-26,"JSP_mid_P1","washer",10,4,40,1.25,0.0225,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"106",106,"JSP_mid_P1","DPW","staple","JSP_mid_P1__2017-05-26__staple__DPW","grid","test",2017-05-26,"JSP_mid_P1","staple",10,4,40,1.25,0.045,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"107",107,"JSP_mid_P1","DPW","rebar","JSP_mid_P1__2017-05-26__rebar__DPW","grid","test",2017-05-26,"JSP_mid_P1","rebar",10,4,40,1.25,0.075,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"108",108,"JSP_south_P5","DPW","burlap","JSP_south_P5__2017-05-26__burlap__DPW","grid","test",2017-05-26,"JSP_south_P5","burlap",10,4,40,1.25,0.1875,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"109",109,"JSP_south_P5","DPW","washer","JSP_south_P5__2017-05-26__washer__DPW","grid","test",2017-05-26,"JSP_south_P5","washer",10,4,40,1.25,0.0225,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"110",110,"JSP_south_P5","DPW","staple","JSP_south_P5__2017-05-26__staple__DPW","grid","test",2017-05-26,"JSP_south_P5","staple",10,4,40,1.25,0.045,9,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"111",111,"JSP_south_P5","DPW","rebar","JSP_south_P5__2017-05-26__rebar__DPW","grid","test",2017-05-26,"JSP_south_P5","rebar",10,4,40,1.25,0.075,3,90,2.25,72,"DPW","zos_rest_methods__DNR__unspecified"
"112",112,"JSP_mid_south_2","DPW","rebar","JSP_mid_south_2__2017-05-28__rebar__DPW_r1","point","test",2017-05-28,"JSP_mid_south_2","rebar",4,0.25,1,1,0.1,4,80,80,80,"DPW","dnr__DNR__unspecified"
"113",113,"JSP_mid_south_2","DPW","rebar","JSP_mid_south_2__2017-05-28__rebar__DPW_r2","point","test",2017-05-28,"JSP_mid_south_2","rebar",4,0.25,1,1,0.1,4,100,100,100,"DPW","dnr__DNR__unspecified"
